season,week,celebrity_name,exit_week,result_type,placement,n_judges,raw_score_sum,max_possible_points,normalized_score,n_contestants,judge_share,judge_rank,is_eliminated,rule_system,estimated_fan_share,share_std,share_entropy,confidence,n_valid_sims,prior_strength,posterior_strength
1,1,Evander Holyfield,3,eliminated,5,3,18.0,30.0,0.6,6,0.165137614678899,4.5,False,Rank,0.16168099561912352,,,,,6.0710789977923,6.0710789977923
1,1,Joey McIntyre,99,finalist,3,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.19809344189687272,,,,,6.0710789977923,6.0710789977923
1,1,John O'Hurley,99,finalist,2,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.19809344189687272,,,,,6.0710789977923,6.0710789977923
1,1,Kelly Monaco,99,finalist,1,3,13.0,30.0,0.4333333333333333,6,0.1192660550458715,6.0,False,Rank,0.08235768307113464,,,,,6.0710789977923,6.0710789977923
1,1,Rachel Hunter,4,eliminated,4,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.19809344189687272,,,,,6.0710789977923,6.0710789977923
1,1,Trista Sutter,2,eliminated,6,3,18.0,30.0,0.6,6,0.165137614678899,4.5,False,Rank,0.16168099561912352,,,,,6.0710789977923,6.0710789977923
1,2,Evander Holyfield,3,eliminated,5,3,14.0,30.0,0.4666666666666667,6,0.1157024793388429,6.0,False,Rank,0.17399496002382844,0.11964956682853056,3.0062017923399424,0.0885,885.0,6.330605405448244,8.330605405448244
1,2,Joey McIntyre,99,finalist,3,3,21.0,30.0,0.7,6,0.1735537190082644,3.0,False,Rank,0.21131433411446182,0.14730797080657104,3.2377173622616975,0.0885,885.0,6.330605405448244,8.330605405448244
1,2,John O'Hurley,99,finalist,2,3,26.0,30.0,0.8666666666666667,6,0.2148760330578512,1.0,False,Rank,0.2573048058353941,0.15749085632693327,3.3814272067142683,0.0885,885.0,6.330605405448244,8.330605405448244
1,2,Kelly Monaco,99,finalist,1,3,17.0,30.0,0.5666666666666667,6,0.140495867768595,5.0,False,Rank,0.09701094176087002,0.10089407502345837,2.5297360064429615,0.0885,885.0,6.330605405448244,8.330605405448244
1,2,Rachel Hunter,4,eliminated,4,3,24.0,30.0,0.8,6,0.1983471074380165,2.0,False,Rank,0.23533006883836347,0.16033220762139522,3.3341732132299553,0.0885,885.0,6.330605405448244,8.330605405448244
1,2,Trista Sutter,2,eliminated,6,3,19.0,30.0,0.6333333333333333,6,0.1570247933884297,4.0,True,Rank,0.02504488942708218,0.025294092104798164,1.2546226159296365,0.0885,885.0,6.330605405448244,8.330605405448244
1,3,Evander Holyfield,3,eliminated,5,3,13.0,30.0,0.4333333333333333,5,0.1226415094339622,5.0,True,Rank,0.024097034474671063,0.030714133225127314,1.2352380988299718,0.5576,5576.0,9.528178531225596,11.528178531225597
1,3,Joey McIntyre,99,finalist,3,3,22.0,30.0,0.7333333333333333,5,0.2075471698113207,3.0,False,Rank,0.22326549764503106,0.1294511003207673,3.2032349838752885,0.5576,5576.0,9.528178531225596,11.528178531225597
1,3,John O'Hurley,99,finalist,2,3,24.0,30.0,0.8,5,0.2264150943396226,2.0,False,Rank,0.32468380691050575,0.14737879040452892,3.3811473188758154,0.5576,5576.0,9.528178531225596,11.528178531225597
1,3,Kelly Monaco,99,finalist,1,3,21.0,30.0,0.7,5,0.1981132075471698,4.0,False,Rank,0.1069476026955226,0.08854769357349705,2.651180824702905,0.5576,5576.0,9.528178531225596,11.528178531225597
1,3,Rachel Hunter,4,eliminated,4,3,26.0,30.0,0.8666666666666667,5,0.2452830188679245,1.0,False,Rank,0.321006058274271,0.1451137252798242,3.3674078884512806,0.5576,5576.0,9.528178531225596,11.528178531225597
1,4,Joey McIntyre,99,finalist,3,3,20.0,30.0,0.6666666666666666,4,0.217391304347826,4.0,False,Rank,0.2982613155460861,0.07185152857448304,2.4781056250624136,0.0085,85.0,13.013164193461535,15.013164193461536
1,4,John O'Hurley,99,finalist,2,3,21.0,30.0,0.7,4,0.2282608695652174,3.0,False,Rank,0.3120962911653069,0.10418349841377798,2.7505454312106354,0.0085,85.0,13.013164193461535,15.013164193461536
1,4,Kelly Monaco,99,finalist,1,3,26.0,30.0,0.8666666666666667,4,0.2826086956521739,1.0,False,Rank,0.22629268522139787,0.07759667261479772,2.5116809791233226,0.0085,85.0,13.013164193461535,15.013164193461536
1,4,Rachel Hunter,4,eliminated,4,3,25.0,30.0,0.8333333333333334,4,0.2717391304347826,2.0,True,Rank,0.16334970806720894,0.04065313370387204,1.9898730716006923,0.0085,85.0,13.013164193461535,15.013164193461536
