season,week,celebrity_name,normalized_score,judge_share,estimated_fan_share,rank_rank,percent_rank,save_rank,is_eliminated,is_bottom3_judge,rule_system
1,1,John O'Hurley,0.6666666666666666,0.18348623853211,0.1980934418968727,2.0,2.0,2.0,False,False,Rank
1,1,Kelly Monaco,0.4333333333333333,0.1192660550458715,0.0823576830711346,6.0,6.0,6.0,False,True,Rank
1,1,Evander Holyfield,0.6,0.165137614678899,0.1616809956191235,4.5,4.5,4.5,False,True,Rank
1,1,Rachel Hunter,0.6666666666666666,0.18348623853211,0.1980934418968727,2.0,2.0,2.0,False,False,Rank
1,1,Joey McIntyre,0.6666666666666666,0.18348623853211,0.1980934418968727,2.0,2.0,2.0,False,False,Rank
1,1,Trista Sutter,0.6,0.165137614678899,0.1616809956191235,4.5,4.5,4.5,False,True,Rank
1,2,John O'Hurley,0.8666666666666667,0.2148760330578512,0.2573048058353941,1.0,1.0,1.0,False,False,Rank
1,2,Kelly Monaco,0.5666666666666667,0.140495867768595,0.09701094176087,5.0,5.0,5.0,False,True,Rank
1,2,Evander Holyfield,0.4666666666666667,0.1157024793388429,0.1739949600238284,5.0,4.0,5.0,False,True,Rank
1,2,Rachel Hunter,0.8,0.1983471074380165,0.2353300688383634,2.0,2.0,2.0,False,False,Rank
1,2,Joey McIntyre,0.7,0.1735537190082644,0.2113143341144618,3.0,3.0,3.0,False,False,Rank
1,2,Trista Sutter,0.6333333333333333,0.1570247933884297,0.0250448894270821,5.0,6.0,5.0,True,True,Rank
1,3,John O'Hurley,0.8,0.2264150943396226,0.3246838069105057,1.5,2.0,1.5,False,False,Rank
1,3,Kelly Monaco,0.7,0.1981132075471698,0.1069476026955226,4.0,4.0,4.0,False,True,Rank
1,3,Evander Holyfield,0.4333333333333333,0.1226415094339622,0.024097034474671,5.0,5.0,5.0,True,True,Rank
1,3,Rachel Hunter,0.8666666666666667,0.2452830188679245,0.321006058274271,1.5,1.0,1.5,False,False,Rank
1,3,Joey McIntyre,0.7333333333333333,0.2075471698113207,0.223265497645031,3.0,3.0,3.0,False,True,Rank
1,4,John O'Hurley,0.7,0.2282608695652174,0.3120962911653069,1.5,1.0,1.5,False,True,Rank
1,4,Kelly Monaco,0.8666666666666667,0.2826086956521739,0.2262926852213978,1.5,3.0,1.5,False,False,Rank
1,4,Rachel Hunter,0.8333333333333334,0.2717391304347826,0.1633497080672089,3.5,4.0,3.5,True,True,Rank
1,4,Joey McIntyre,0.6666666666666666,0.217391304347826,0.2982613155460861,3.5,2.0,3.5,False,True,Rank
1,5,John O'Hurley,0.9,0.3698630136986301,0.5973529993431312,1.0,1.0,1.0,False,True,Rank
1,5,Kelly Monaco,0.7833333333333333,0.321917808219178,0.1786358948429088,2.5,3.0,2.5,False,True,Rank
1,5,Joey McIntyre,0.75,0.3082191780821917,0.2240111058139599,2.5,2.0,2.5,False,True,Rank
1,6,John O'Hurley,0.9,0.4954128440366973,0.6848935744378337,1.5,1.0,1.5,False,True,Rank
1,6,Kelly Monaco,0.9166666666666666,0.5045871559633027,0.3151064255621663,1.5,2.0,1.5,False,True,Rank
2,1,Tatum O'Neal,0.7666666666666667,0.1179487179487179,0.1253852680532916,2.0,2.0,2.0,False,False,Rank
2,1,Tia Carrere,0.6666666666666666,0.1025641025641025,0.10530348835425,6.0,6.0,6.0,False,False,Rank
2,1,George Hamilton,0.6,0.0923076923076923,0.1002560843804799,7.5,8.0,7.5,False,True,Rank
2,1,Lisa Rinna,0.6333333333333333,0.0974358974358974,0.0982036237777814,7.5,7.0,7.5,False,False,Rank
2,1,Stacy Keibler,0.7333333333333333,0.1128205128205128,0.1205707140490296,4.0,4.0,4.0,False,False,Rank
2,1,Jerry Rice,0.7,0.1076923076923076,0.1111727317144266,5.0,5.0,5.0,False,False,Rank
2,1,Giselle Fernandez,0.7666666666666667,0.1179487179487179,0.1251902026512366,3.0,3.0,3.0,False,False,Rank
2,1,Master P,0.4,0.0615384615384615,0.0702858370794195,9.5,9.0,9.5,False,True,Rank
2,1,Drew Lachey,0.8,0.123076923076923,0.1332856546914107,1.0,1.0,1.0,False,False,Rank
2,1,Kenny Mayne,0.4333333333333333,0.0666666666666666,0.0103463952486748,9.5,10.0,9.5,True,True,Rank
2,2,Tatum O'Neal,0.5666666666666667,0.0849999999999999,0.0184829164194339,8.5,9.0,8.5,True,True,Rank
2,2,Tia Carrere,0.7333333333333333,0.1099999999999999,0.1026198151104624,5.0,5.0,5.0,False,False,Rank
2,2,George Hamilton,0.7333333333333333,0.1099999999999999,0.0909513846086133,6.0,6.0,6.0,False,False,Rank
2,2,Lisa Rinna,0.6666666666666666,0.0999999999999999,0.0981257511282269,7.0,7.0,7.0,False,True,Rank
2,2,Stacy Keibler,0.9666666666666668,0.145,0.1773549197008978,1.5,1.0,1.5,False,False,Rank
2,2,Jerry Rice,0.7666666666666667,0.115,0.1248059207909044,4.0,4.0,4.0,False,False,Rank
2,2,Giselle Fernandez,0.8,0.12,0.1426950351147982,3.0,3.0,3.0,False,False,Rank
2,2,Master P,0.5333333333333333,0.08,0.0667704246218405,8.5,8.0,8.5,False,True,Rank
2,2,Drew Lachey,0.9,0.135,0.1781938325048226,1.5,2.0,1.5,False,False,Rank
2,3,Tia Carrere,0.8666666666666667,0.1428571428571428,0.1055826564467592,4.0,4.0,4.0,False,False,Rank
2,3,George Hamilton,0.7333333333333333,0.1208791208791208,0.0976024153461375,6.0,6.0,6.0,False,True,Rank
2,3,Lisa Rinna,0.8333333333333334,0.1373626373626373,0.1348915880346302,3.0,3.0,3.0,False,False,Rank
2,3,Stacy Keibler,0.9,0.1483516483516483,0.1624913438554691,2.0,2.0,2.0,False,False,Rank
